event_id,name,date
382,"UFC 206: Holloway vs. Pettis",2016-12-10
383,"UFC on FOX: VanZant vs. Waterson",2016-12-17
384,"UFC 207: Nunes vs. Rousey",2016-12-30
385,"UFC Fight Night: Rodriguez vs. Penn",2017-01-15
386,"UFC on FOX: Shevchenko vs. Pena",2017-01-28
387,"UFC Fight Night: Bermudez vs. The Korean Zombie",2017-02-04
388,"UFC 208: Holm vs. De Randamie",2017-02-11
389,"UFC Fight Night: Lewis vs. Browne",2017-02-19
390,"UFC 209: Woodley vs. Thompson 2",2017-03-04
391,"UFC Fight Night: Belfort vs. Gastelum",2017-03-11
392,"UFC Fight Night: Manuwa vs. Anderson",2017-03-18
393,"UFC 210: Cormier vs. Johnson 2",2017-04-08
394,"UFC on FOX: Johnson vs. Reis",2017-04-15
395,"UFC Fight Night: Swanson vs. Lobov",2017-04-22
396,"UFC 211: Miocic vs. Dos Santos",2017-05-13
397,"UFC Fight Night: Gustafsson vs. Teixeira",2017-05-28
398,"UFC 212: Aldo vs. Holloway",2017-06-03
399,"UFC Fight Night: Lewis vs. Hunt",2017-06-10
400,"UFC Fight Night: Holm vs. Correia",2017-06-17
401,"UFC Fight Night: Chiesa vs. Lee",2017-06-25
402,"The Ultimate Fighter: Redemption Finale",2017-07-07
403,"UFC 213: Romero vs. Whittaker",2017-07-08
404,"UFC Fight Night: Nelson vs. Ponzinibbio",2017-07-16
405,"UFC Fight Night: Weidman vs. Gastelum",2017-07-22
406,"UFC 214: Cormier vs. Jones 2",2017-07-29
407,"UFC Fight Night: Pettis vs. Moreno",2017-08-05
408,"UFC Fight Night: Volkov vs. Struve",2017-09-02
409,"UFC 215: Nunes vs Shevchenko 2",2017-09-09
410,"UFC Fight Night: Rockhold vs. Branch",2017-09-16
411,"UFC Fight Night: Saint Preux vs. Okami",2017-09-22
412,"UFC 216: Ferguson vs. Lee",2017-10-07
413,"UFC Fight Night: Cerrone vs. Till",2017-10-21
414,"UFC Fight Night: Brunson vs. Machida",2017-10-28
415,"UFC 217: Bisping vs. St-Pierre",2017-11-04
416,"UFC Fight Night: Poirier vs. Pettis",2017-11-11
417,"UFC Fight Night: Werdum vs. Tybura",2017-11-18
418,"UFC Fight Night: Bisping vs. Gastelum",2017-11-25
419,"The Ultimate Fighter: A New World Champion Finale",2017-12-01
420,"UFC 218: Holloway vs. Aldo 2",2017-12-02
421,"UFC Fight Night: Swanson vs. Ortega",2017-12-09
422,"UFC Fight Night: Lawler vs. Dos Anjos",2017-12-16
423,"UFC 219: Cyborg vs. Holm",2017-12-30
424,"UFC Fight Night: Stephens vs. Choi",2018-01-14
425,"UFC 220: Miocic vs. Ngannou",2018-01-20
426,"UFC Fight Night: Jacare vs. Brunson 2",2018-01-27
427,"UFC Fight Night: Machida vs. Anders",2018-02-03
428,"UFC 221: Romero vs. Rockhold",2018-02-10
429,"UFC Fight Night: Cerrone vs. Medeiros",2018-02-18
430,"UFC Fight Night: Emmett vs. Stephens",2018-02-24
431,"UFC 222: Cyborg vs. Kunitskaya",2018-03-03
432,"UFC Fight Night: Werdum vs. Volkov",2018-03-17
433,"UFC 223: Khabib vs. Iaquinta",2018-04-07
434,"UFC Fight Night: Poirier vs. Gaethje",2018-04-14
435,"UFC Fight Night: Barboza vs. Lee",2018-04-21
436,"UFC 224: Nunes vs. Pennington",2018-05-12
437,"UFC Fight Night: Maia vs. Usman",2018-05-19
438,"UFC Fight Night: Thompson vs. Till",2018-05-27
439,"UFC Fight Night: Rivera vs. Moraes",2018-06-01
440,"UFC 225: Whittaker vs. Romero 2",2018-06-09
441,"UFC Fight Night: Cowboy vs. Edwards",2018-06-23
442,"The Ultimate Fighter: Undefeated Finale",2018-07-06
443,"UFC 226: Miocic vs. Cormier",2018-07-07
444,"UFC Fight Night: Dos Santos vs. Ivanov",2018-07-14
445,"UFC Fight Night: Shogun vs. Smith",2018-07-22
446,"UFC Fight Night: Alvarez vs. Poirier 2",2018-07-28
447,"UFC 227: Dillashaw vs. Garbrandt 2",2018-08-04
448,"UFC Fight Night: Gaethje vs. Vick",2018-08-25
449,"UFC 228: Woodley vs. Till",2018-09-08
450,"UFC Fight Night: Hunt vs. Oleinik",2018-09-15
451,"UFC Fight Night: Marreta vs. Anders",2018-09-22
452,"UFC 229: Khabib vs. McGregor",2018-10-06
453,"UFC Fight Night: Oezdemir vs. Smith",2018-10-27
454,"UFC 230: Cormier vs. Lewis",2018-11-03
455,"UFC Fight Night: Korean Zombie vs. Rodriguez",2018-11-10
456,"UFC Fight Night: Magny vs. Ponzinibbio",2018-11-17
457,"UFC Fight Night: Blaydes vs. Ngannou 2",2018-11-24
458,"The Ultimate Fighter: Heavy Hitters Finale",2018-11-30
459,"UFC Fight Night: Dos Santos vs. Tuivasa",2018-12-01
460,"UFC 231: Holloway vs. Ortega",2018-12-08
461,"UFC Fight Night: Lee vs. Iaquinta",2018-12-15
462,"UFC 232: Jones vs. Gustafsson 2",2018-12-29
463,"UFC Fight Night: Cejudo vs. Dillashaw",2019-01-19
464,"UFC Fight Night: Assuncao vs. Moraes 2",2019-02-02
465,"UFC 234: Adesanya vs. Silva",2019-02-09
466,"UFC Fight Night: Ngannou vs. Velasquez",2019-02-17
467,"UFC Fight Night: Blachowicz vs. Santos",2019-02-23
468,"UFC 235: Jones vs. Smith",2019-03-02
469,"UFC Fight Night: Lewis vs. Dos Santos",2019-03-09
470,"UFC Fight Night: Till vs. Masvidal",2019-03-16
471,"UFC Fight Night: Thompson vs. Pettis",2019-03-23
472,"UFC Fight Night: Barboza vs. Gaethje",2019-03-30
473,"UFC 236: Holloway vs. Poirier 2",2019-04-13
474,"UFC Fight Night: Overeem vs. Oleinik",2019-04-20
475,"UFC Fight Night: Jacare vs. Hermansson",2019-04-27
476,"UFC Fight Night: Iaquinta vs. Cowboy",2019-05-04
477,"UFC 237: Namajunas vs. Andrade",2019-05-11
478,"UFC Fight Night: Dos Anjos vs. Lee",2019-05-18
479,"UFC Fight Night: Gustafsson vs. Smith",2019-06-01
480,"UFC 238: Cejudo vs. Moraes",2019-06-08
